layer,transmission_time,transmission_data,computation_time
0,0.10369575023651123,0.006591796875,15.64633846282959
1,0.15498268604278564,0.421875,4.460573196411133
2,0.10942435264587402,0.3515625,20.331382751464844
3,0.05009043216705322,0.22265625,4.137635231018066
4,0.04253649711608887,0.0703125,22.008895874023438
5,0.0566326379776001,0.140625,5.205035209655762
6,0.05621910095214844,0.140625,6.945967674255371
7,0.035109519958496094,0.15234375,1.9696950912475586
8,0.018027782440185547,0.0439453125,8.161187171936035
9,0.017217397689819336,0.0439453125,4.065752029418945
10,0.010468602180480957,0.0439453125,7.450699806213379
11,0.001482844352722168,0.0040283203125,0.6574392318725586
