layer,transmission_time,transmission_data,computation_time
0,0.1478053331375122,0.2947998046875,37.92989253997803
1,0.14097952842712402,0.41015625,41.39983654022217
2,0.14411509037017822,0.423828125,30.966877937316895
3,0.1499398946762085,0.4375,18.61727237701416
4,0.12194693088531494,0.451171875,37.2852087020874
5,0.09107697010040283,0.24609375,25.913715362548828
6,0.09124946594238281,0.259765625,30.553340911865234
7,0.09132230281829834,0.2734375,26.212692260742188
8,0.07413220405578613,0.287109375,48.28214645385742
9,0.056081295013427734,0.1572265625,45.11404037475586
10,0.05796182155609131,0.1708984375,45.395493507385254
11,0.060364723205566406,0.1845703125,44.22867298126221
12,0.06743860244750977,0.1982421875,47.83439636230469
13,0.07100844383239746,0.2119140625,46.12910747528076
14,0.060059189796447754,0.2255859375,92.79954433441162
15,0.04792022705078125,0.1298828125,103.34134101867676
16,0.05018270015716553,0.1435546875,103.3402681350708
17,0.0018265247344970703,0.001953125,1.042485237121582
