layer,transmission_time,transmission_data,computation_time
0,0.42507219314575195,0.57421875,69.1061019897461
1,0.4613921642303467,0.765625,42.60826110839844
2,0.445098876953125,0.765625,50.557851791381836
3,0.44144558906555176,0.765625,43.55311393737793
4,0.3428499698638916,0.765625,53.54905128479004
5,0.2404932975769043,0.3828125,53.02715301513672
6,0.23349833488464355,0.3828125,44.46578025817871
7,0.2271132469177246,0.3828125,41.783809661865234
8,0.17462754249572754,0.3828125,70.65868377685547
9,0.12394857406616211,0.19140625,70.19805908203125
10,0.12146687507629395,0.19140625,72.77107238769531
11,0.1168973445892334,0.19140625,68.48335266113281
12,0.11554884910583496,0.19140625,67.88396835327148
13,0.11408090591430664,0.19140625,69.32640075683594
14,0.11015772819519043,0.19140625,145.2045440673828
15,0.06513214111328125,0.095703125,148.2079029083252
16,0.06372833251953125,0.095703125,149.98912811279297
17,0.003954410552978516,0.001953125,1.4209747314453125
