layer,transmission_time,transmission_data,computation_time
0,2.092976450920105,0.287109375,26.690959930419922
1,3.869722008705139,6.125,106.3680648803711
2,2.471670985221863,6.125,20.73216438293457
3,1.4585626125335693,1.517578125,47.2637414932251
4,2.043399930000305,3.03515625,79.17451858520508
5,1.266878604888916,3.03515625,9.702801704406738
6,0.7541451454162598,0.751953125,42.99807548522949
7,1.0220825672149658,1.50390625,78.14812660217285
8,1.070839285850525,1.50390625,82.11863040924072
9,0.6682306528091431,1.50390625,6.334900856018066
10,0.39541852474212646,0.369140625,105.35800457000732
11,0.5763944387435913,0.73828125,115.58401584625244
12,0.5545188188552856,0.73828125,105.52442073822021
13,0.3486495018005371,0.73828125,3.0117034912109375
14,0.13822674751281738,0.177734375,101.72688961029053
15,0.1335355043411255,0.177734375,62.62409687042236
16,0.1392604112625122,0.177734375,64.28372859954834
17,0.08873903751373291,0.177734375,1.013040542602539
18,0.02731645107269287,0.0478515625,1444.1829919815063
